	log2FC	t	B	PValue	FDR
NKG7	3.00160013196449	17.0003901418895	76.1780350061962	2.86755123952201e-38	5.59717326442301e-34
GBP1	2.31543720101147	16.7946441680215	74.9165936998863	1.03915851042311e-37	8.79700033566303e-34
GBP4	2.95449369739537	16.7526637414337	74.6586642781289	1.35206726814842e-37	8.79700033566303e-34
CD8A	3.19384416097215	16.5661921743055	73.5107859156888	4.36188546079015e-37	2.12849105772907e-33
PRF1	2.64746193147906	16.4810837137803	72.9857059563581	7.45282991476472e-37	2.90943574212585e-33
GZMB	3.0833545183695	16.2201715387568	71.3715444743897	3.8668450451462e-36	1.25794914060348e-32
LAG3	2.79970212094743	16.108402447256	70.6780677968421	7.84300904689128e-36	2.18696705123244e-32
GBP5	3.43611141611554	16.0671435976576	70.4217784579136	1.01853903792958e-35	2.48510793516845e-32
IRF1	1.76876373383603	15.9198405589656	69.5054877035017	2.59240817051428e-35	5.62235723114092e-32
GZMH	3.16428727021049	15.8496133241913	69.0679491672134	4.04965428713994e-35	7.90452020306846e-32
CD274	2.69770848357025	15.7862593166623	68.6728558309338	6.05797512247248e-35	1.07496014923219e-31
ZNF683	3.59424977488015	15.3229991523523	65.773418510077	1.16294338444892e-33	1.89162432675488e-30
CXCL9	3.76088589815242	15.1467030133184	64.6654708457034	3.59544526257255e-33	5.39842277539643e-30
FASLG	3.09890291724377	15.095321677531	64.3421166968341	4.99804001884821e-33	6.96833879484987e-30
CCL5	2.83689749356719	14.8802281150777	62.9864049075704	1.98824824928357e-32	2.58724117185107e-29
IDO1	4.40854516015554	14.7479466070117	62.151051968227	4.65492374290586e-32	5.42878592909648e-29
IL2RB	2.32522053971798	14.745520018347	62.1357172458281	4.7281807876756e-32	5.42878592909648e-29
WARS	2.27180281997598	14.3260280576513	59.4792640516808	7.06725424712703e-31	7.66365198053736e-28
SLA2	2.36739918908629	14.2173110293655	58.7891599070742	1.42664618704694e-30	1.46561615394575e-27
STAT1	1.68605989900176	14.1620854622067	58.4383682117618	2.03880900313006e-30	1.98977564660478e-27
TBX21	2.43468161293905	14.149626138267	58.3592055742076	2.20987580781477e-30	2.05402694727316e-27
CXCL10	3.60493791065012	14.1330466081564	58.2538524944036	2.46000131229256e-30	2.18258025521084e-27
